date,country,new_cases,new_deaths,total_cases,total_deaths
2020-11-16,Argentina,5645,129,1310476,35436
2020-11-16,Brazil,0,0,5848959,165658
2020-11-16,China,7,0,91636,4739					
2020-11-16,Colombia,7742,202,1198746,34031
2020-11-16,France,27228,302,1981827,44548
2020-11-15,Spain,0,0,1458591,40769
2020-11-16,India,30548,435,8845127,130070
2020-11-16,Italy,33977,546,1178529,45229
2020-11-16,Spain,0,0,1458591,40769
2020-11-16,Switzerland,0,0,256186,2956
2020-11-16,United Kingdom,26860,462,1344356,5176
2020-11-16,United States,132170,614,11037061,246214
2020-11-16,Kuwait,499,3,136840,838
2020-11-16,Kenya,972,20,70245,1269	
2020-11-16,Bulgaria,816,39,98251,2130